year,fundingtype,amount
2013,Arts & Heritage,439.6
2013,Cultural Matching Fund,-
2013,Library,249.8
2014,Arts & Heritage,495.1
2014,Cultural Matching Fund,51.9
2014,Library,337
2015,Arts & Heritage,522.7
2015,Cultural Matching Fund,79.5
2015,Library,334.5
2016,Arts & Heritage,420.1
2016,Cultural Matching Fund,19.8
2016,Library,280.1
2017,Arts & Heritage,417.63
2017,Cultural Matching Fund,20.5
2017,Library,-
2018,Arts & Heritage,414.96
2018,Cultural Matching Fund,43.7
2018,Library,-
2019,Arts & Heritage,446.86
2019,Cultural Matching Fund,49
2019,Library,-
