year,level_1,level_2,value
2020,Total Donations,Religious & Others,1519.5
2020,Total Donations,Social & Welfare,608.6
2020,Total Donations,Arts & Heritage,69
2020,Total Donations,Health,432.1
2020,Total Donations,Education,418.5
2020,Total Donations,Community,58.2
2020,Total Donations,Sports,14
2019,Total Donations,Religious & Others,1715.8
2019,Total Donations,Social & Welfare,494.4
2019,Total Donations,Arts & Heritage,77.2
2019,Total Donations,Health,417.2
2019,Total Donations,Education,483.7
2019,Total Donations,Community,43.5
2019,Total Donations,Sports,13.6
2018,Total Donations,Religious & Others,1457
2018,Total Donations,Social & Welfare,511.1
2018,Total Donations,Arts & Heritage,71.3
2018,Total Donations,Health,308.1
2018,Total Donations,Education,459.8
2018,Total Donations,Community,26.9
2018,Total Donations,Sports,36.7
2017,Total Donations,Religious & Others,1357
2017,Total Donations,Social & Welfare,445
2017,Total Donations,Arts & Heritage,101.6
2017,Total Donations,Health,273.7
2017,Total Donations,Education,333.6
2017,Total Donations,Community,25.8
2017,Total Donations,Sports,117.3
2016,Total Donations,Religious & Others,1314.1
2016,Total Donations,Social & Welfare,475.9
2016,Total Donations,Arts & Heritage,173
2016,Total Donations,Health,350.1
2016,Total Donations,Education,466.4
2016,Total Donations,Community,34.4
2016,Total Donations,Sports,48.5
2015,Total Donations,Religious & Others,1347.9
2015,Total Donations,Social & Welfare,501.2
2015,Total Donations,Arts & Heritage,103.8
2015,Total Donations,Health,334.1
2015,Total Donations,Education,382.8
2015,Total Donations,Community,31.9
2015,Total Donations,Sports,33.2
2014,Total Donations,Religious & Others,1344.9
2014,Total Donations,Social & Welfare,424.8
2014,Total Donations,Arts & Heritage,75.7
2014,Total Donations,Health,276.7
2014,Total Donations,Education,345.9
2014,Total Donations,Community,24.9
2014,Total Donations,Sports,31.5
2013,Total Donations,Religious & Others,1177.1
2013,Total Donations,Social & Welfare,388
2013,Total Donations,Arts & Heritage,133.2
2013,Total Donations,Health,251.8
2013,Total Donations,Education,414.9
2013,Total Donations,Community,25.3
2013,Total Donations,Sports,115.6
2012,Total Donations,Religious & Others,1115.6
2012,Total Donations,Social & Welfare,435.8
2012,Total Donations,Arts & Heritage,37.6
2012,Total Donations,Health,245.6
2012,Total Donations,Education,356.5
2012,Total Donations,Community,19.1
2012,Total Donations,Sports,102.5
